name	discoveryYear	mainArea	status	recoverableOilMillSm3	recoverableGasBillSm3	recoverableOeMillSm3
EKOFISK	1969	North sea	PRODUCING	545.6	158.8	731.95
ELDFISK	1970	North sea	PRODUCING	131.2	42.4	180.82
FRIGG	1971	North sea	SHUT DOWN	0.0	116.2	116.7
STATFJORD	1974	North sea	PRODUCING	576.1	81.4	702.04
SLEIPNER VEST	1974	North sea	PRODUCING	3.6	137.0	189.11
VALHALL	1975	North sea	PRODUCING	144.8	26.9	181.2
ULA	1976	North sea	PRODUCING	83.2	3.9	93.18
GULLFAKS SØR	1978	North sea	PRODUCING	62.4	84.8	170.19
GULLFAKS	1978	North sea	PRODUCING	377.0	23.1	405.42
SNORRE	1979	North sea	PRODUCING	267.5	6.6	283.22
TROLL	1979	North sea	PRODUCING	280.4	1432.8	1762.01
OSEBERG	1979	North sea	PRODUCING	401.7	122.5	548.52
ÅSGARD	1981	Norwegian sea	PRODUCING	103.4	210.0	403.84
SLEIPNER ØST	1981	North sea	PRODUCING	0.2	67.8	119.87
TYRIHANS	1983	Norwegian sea	PRODUCING	35.2	42.8	92.82
SNØHVIT	1984	Barents sea	PRODUCING	0.0	224.4	265.43
OSEBERG SØR	1984	North sea	PRODUCING	67.2	21.3	92.68
DRAUGEN	1984	Norwegian sea	PRODUCING	144.4	1.7	151.61
HEIDRUN	1985	Norwegian sea	PRODUCING	186.0	49.0	239.75
VISUND	1986	North sea	PRODUCING	36.3	55.1	104.32
GRANE	1991	North sea	PRODUCING	143.7	0.0	143.7
NORNE	1992	Norwegian sea	PRODUCING	91.3	10.6	104.37
KVITEBJØRN	1994	North sea	PRODUCING	32.3	94.7	148.85
ORMEN LANGE	1997	Norwegian sea	PRODUCING	0.0	296.4	315.3
JOHAN SVERDRUP	2010	North sea	PDO APPROVED	279.5	8.5	295.03
